Quiz,Correct,Wrong,Made,,,,
度数が高いのは？,日本酒,シャンパン,5,3,ニホンシュ,シャンパン,5.35
二十四節気において、1月20日頃は何と呼ばれているか？,大寒,小寒,3,3,ダイカン,ショウカン,7
日本一広い公園は？,国営木曽三川公園,国営アルプスあづみの公園,4,3,コクエイキソミガワコウエン,コクエイアルプスアヅミノコウエン,15.5
麻雀で、一と九の牌のみでできる役満を何と呼ぶか？,清老頭,国士無双,2,3,チンラオトウ,コクシムソウ,8.5
日本人のノーベル賞受賞者数が多いのは？,物理学賞,化学賞,5,3,ブツリガクショウ,カガクショウ,9.2
出身の総理大臣が多いのは？,山口県,群馬県,5,3,ヤマグチケン,グンマケン,7
保育園を管轄しているのは？　,厚生労働省,文部科学省,5,3,コウセイロウドウショウ,モンブカガクショウ,11.7
「TPP」とは何の略称？,環太平洋戦略的経済連携協定,環太平洋戦略的環境連携協定,2,3,カンタイヘイヨウセンリャクテキケイザイレンケイキョウテイ,カンタイヘイヨウセンリャクテキカンキョウレンケイキョウテイ,46.3
中国の森林で発見された化石人類を何と呼ぶ？,北京原人,蓬莱原人,2,3,ペキンゲンジン,ホウライゲンジン,13.9
神話の霊獣「四神」の中で、西方を守護する神を何と呼ぶ？,白虎,青龍,2,3,ビャッコ,アオリュウ,9.6
数学界の賞「フィールズ賞」のメダルに描かれているのは誰？,アルキメデス,ソクラテス,2,3,アルキメデス,ソクラテス,12.4
二大印刷会社の一角である、略称を「DNP」とする企業の名は？,大日本印刷株式会社,凸版印刷,2,3,ダイニッポンインサツカブシキガイシャ,トッパンインサツ,26.3
日本の小説家・太宰治の本名は？,津島修治,綱川修,2,3,ツシマシュウジ,ツナカワオサム,12.7
40分で終戦した戦争は？,ザンジバル戦争,マケドニア戦争,4,3,ザンジバルセンソウ,マケドニアセンソウ,16.1
小型恐竜「オビラプトル」の名前の由来は？,卵泥棒,小さな漁師,4,3,タマゴドロボウ,チイサナリョウシ,13.8
スタジオジブリの第一作品は？,天空の城ラピュタ,風の谷のナウシカ,5,3,テンクウノシロラピュタ,カゼノタニノナウシカ,19
突き指をした際の適切な処置は？,指を冷やす,指を温める,5,3,ユビヲヒヤス,ユビヲアタタメル,12.5
スーパーマリオのアニメ化の際クッパの声優を務めたのは？,和田アキ子,小林幸子,5,3,ワダアキコ,コバヤシサチコ,12.1
かつて通天閣の地下に合った施設は？,水族館,美術館,5,3,スイゾクカン,ビジュツカン,11.3
生物が放つ微弱な電気を感知できるのは？,ハンマーヘッドシャークの頭,バンドウイルカの口,4,3,ハンマーヘッドシャークノアタマ,バンドウイルカノクチ,24.1
子どもが一歳の初誕生日を迎えた時には何を使い子供の健康を願う？,一升餅,高坏（たかつき）,5,3,イッショウモチ,タカツキ（タカツキ）,16.2
野原しんのすけが通っている幼稚園の名前は？,アクション幼稚園,かいじゅう幼稚園,5,3,アクションヨウチエン,カイジュウヨウチエン,18.7
ディズニーランドのシンデレラ城の地下にあるのは？,防災用具の倉庫,掃除用具の倉庫,5,3,ボウサイヨウグノソウコ,ソウジヨウグノソウコ,19.8
元禄文化が栄えたのは何時代？,江戸時代,安土桃山時代,3,2,エドジダイ,アヅチモモヤマジダイ,12.4
GNPが表すのは？,国民総生産,国内総生産,3,2,コクミンソウセイサン,コクナイソウセイサン,16.9
「DJ」は何の略？,ディスクジョッキー,ディスクジャグラー,4,2,ディスクジョッキー,ディスクジャグラー,16.2
アヘン戦争後の講和条約といえば？,南京条約,北京条約,3,2,ナンキンジョウヤク,ペキンジョウヤク,15.4
長いのはどっち？,赤道半周,南極から北極まで,3,2,セキドウハンシュウ,ナンキョクカラホッキョクマデ,18
日本近海の主な４つのプレートに含まれるのは？,フィリピン海プレート,インド海プレート,3,2,フィリピンカイプレート,インドカイプレート,19.5
"電流,磁界,力の向きを表した法則は？",フレミングの左手の法則,右ねじの法則,3,2,フレミングノヒダリテノホウソク,ミギネジノホウソク,15.2
勤務年数が上がるにつれて賃金が上がる制度は？,年功序列賃金制,終身雇用制,3,2,ネンコウジョレツチンギンセイ,シュウシンコヨウセイ,14.8
PKOは何の略称？,国連平和維持活動,国連平和維持軍,3,2,コクレンヘイワイジカツドウ,コクレンヘイワイジグン,13.5
ILOは何の略称？？,国際労働機関,国際通貨基金,3,2,コクサイロウドウキカン,コクサイツウカキキン,11.8
743年に制定された土地の私有を許可した法律は？,墾田永年私財法,班田収授法,3,2,コンデンエイネンシザイホウ,ハンデンシュウジュホウ,14.7
初代征夷大将軍となったのは？,坂上田村麻呂,平将門,3,2,サカノウエノタムラマロ,タイラノマサカド,11.3
藤原清衝が建立したのは？,中尊寺金色堂,法隆寺,3,2,チュウソンジコンジキドウ,ホウリュウジ,11.1
十返舎一九が作ったのは？,東海道中膝栗毛,南総里見八犬伝,3,2,トウカイドウチュウヒザクリゲ,ナンソウサトミハッケンデン,14.9
歌川広重が作ったのは？,東海道五十三次,富嶽三十六景,3,2,トウカイドウゴジュウサンジ,フガクサンジュウロクケイ,13.8
関税自主権がなく、領事裁判権を承認する不平等条約は？,日米修好通商条約,日米和親条約,3,2,ニチベイシュウコウツウショウジョウヤク,ニチベイワシンジョウヤク,19
日清戦争の原因となった朝鮮で起こった農民の反乱は？,甲午農民戦争,辛亥革命,3,2,コウゴノウミンセンソウ,シンガイカクメイ,12.5
映画ハリー・ポッターの1作目は？,ハリー・ポッターと賢者の石,ハリー・ポッターと秘密の部屋,4,2,ハリー・ポッタートケンジャノイシ,ハリー・ポッタートヒミツノヘヤ,18.4
ニューディール政策を実施したのは？,フランクリン・ルーズベルト,セオドア・ルーズベルト,3,2,フランクリン・ルーズベルト,セオドア・ルーズベルト,15.2
パンダが日本にくるきっかけとなったのは？,日中共同声明,日中平和友好条約,3,2,ニッチュウキョウドウセイメイ,ニッチュウヘイワユウコウジョウヤク,16.9
公開されたのが早いのは？,千と千尋の神隠し,ハウルの動く城,5,2,セントチヒロノカミカクシ,ハウルノウゴクシロ,12.6
赤・青・緑といえば？,光の三原色,色の三原色,5,2,ヒカリノサンゲンショク,イロノサンゲンショク,11.6
音楽で利用される「ダ・カーポ」とはどういう意味の音楽記号？,曲のはじめに戻る指示,徐々に音大きくする指示,2,2,キョクノハジメニモドルシジ,ジョジョニオトオオキクスルシジ,25.5
彫刻の「考える人」は何を考えている？,何も考えていない,世の中の平和,4,2,ナニモカンガエテイナイ,ヨノナカノヘイワ,18.2
現在、最古の人類と言われてるのは？,サヘラントロプスチャデンシス,アウストラロピテクス,3,2,サヘラントロプスチャデンシス,アウストラロピテクス,23.1
死者の埋葬を初めて行った旧人は？,ネアンデルタール人,クロマニョン人,3,2,ネアンデルタールジン,クロマニョンジン,17.2
太陰暦を初めて用いたとされる文明は？,メソポタミア文明,インダス文明,3,2,メソポタミアブンメイ,インダスブンメイ,17.2
メソポタミア文明に関する川は？,ユーフラテス川,インダス川,3,2,ユーフラテスガワ,インダスガワ,13.7
メソポタミア文明を形成した民族といえば？,シュメール人,インディアン,3,2,シュメールジン,インディアン,13.2
「目には目を歯には歯を」といえば？,ハンムラビ法典,ハンブラビ法典,3,2,ハンムラビホウテン,ハンブラビホウテン,16.6
喜望峰を迂回してインドに到達したのは？,バスコ・ダ・ガマ,コロンブス,3,2,バスコ・ダ・ガマ,コロンブス,13.7
ロックが著したのは？,市民政府二論,社会契約説,3,2,シミンセイフニロン,シャカイケイヤクセツ,16.1
フランス革命で処刑されたのは？,マリーアントワネット,ヴィクトリア女王,3,2,マリーアントワネット,ヴィクトリアジョオウ,18.3
P波が伝わってからS波が来るまでの時間を何という？,初期微動継続時間,初期地震継続時間,3,2,ショキビドウケイゾクジカン,ショキジシンケイゾクジカン,23.6
特に都市の比較的浅い地下が震源地である地震の総称は？,直下型地震,都市型地震,3,2,チョッカガタジシン,トシガタジシン,16.1
コンピュータの情報処理の性能に影響するCPUとは？,中央処理装置,ハードディスクドライブ,3,2,チュウオウショリソウチ,ハードディスクドライブ,20.7
音楽用のCDを超える温室の音楽データを何というか？,ハイレゾリューションオーディオ,ハイクオリティオーディオ,3,2,ハイレゾリューションオーディオ,ハイクオリティオーディオ,26.2
ノーベル平和賞を受賞していないのは？,マハトマ・ガンジー,キング牧師,3,2,マハトマ・ガンジー,キングボクシ,15.2
「PET」は何の略？,ポリエチレンテレフタレート,ポリエチレンナフタレート,4,2,ポリエチレンテレフタレート,ポリエチレンナフタレート,22.5
イギリスの正式名称は？,グレートブリテンおよび北アイルランド連合王国,セントビンセントおよびグレナディーン諸島,3,2,グレートブリテンオヨビキタアイルランドレンゴウオウコク,セントビンセントオヨビグレナディーンショトウ,43.3
スウェーデンとノルウェーを含む半島はどれ？,スカンディナヴィア半島,カムチャッカ半島,3,2,スカンディナヴィアハントウ,カムチャッカハントウ,22
英語で入学式は「〇〇 celemony」,entrance,beginning,5,2,entrance,beginning,16.2
JR職員は公務員？,公務員ではない,公務員である,5,2,コウムインデハナイ,コウムインデアル,15.2
ディズニーランドのシンデレラ城の地下にあるのは？,防災用具の倉庫,衣装の倉庫,4,2,ボウサイヨウグノソウコ,イショウノソウコ,11.1
映画モンスターズインクに登場するのは？,ファインディング・ニモ,トイストーリー,4,2,ファインディング・ニモ,トイストーリー,10.95
栄華物語で中心となっている人物は？,藤原道長,平清盛,3,2,フジワラノミチナガ,タイラノキヨモリ,8.9
アメリカでディズニーのテーマパークがあるのは？,カリフォルニア州,ニューヨーク州,3,2,カリフォルニアシュウ,ニューヨークシュウ,11.05
701年に中国の唐にならって制定されたのは？,大宝律令,十七条憲法,3,2,タイホウリツリョウ,ジュッシチジョウケンポウ,10.6
建武の新政を行ったのは？,後醍醐天皇,後鳥羽上皇,3,2,ゴダイゴテンノウ,ゴトバジョウコウ,8.2
火にかけた鍋という意味の料理は？,ポトフ,ラタトゥイユ,3,2,ポトフ,ラタトゥイユ,5.5
温泉が有名な別府はどこにある？,大分県,熊本県,3,2,オオイタケン,クマモトケン,6.6
日本最北端の岬は？,宗谷岬,知床岬,3,2,ソウヤミサキ,シレトコミサキ,6.25
WHOは何の略称？,世界保健機関,世界気象機関,3,2,セカイホケンキカン,セカイキショウキカン,9.1
UNESCOは何の略称？,国連教育科学文化機関,国連児童基金,3,2,コクレンキョウイクカガクブンカキカン,コクレンジドウキキン,14.3
UNCTADは何の略称？,国連貿易開発会議,国連難民高等弁務官,3,2,コクレンボウエキカイハツカイギ,コクレンナンミンコウトウベンムカン,14.65
ODAは何の略称？,政府開発援助,民間開発援助,3,2,セイフカイハツエンジョ,ミンカンカイハツエンジョ,10.6
NPOは何の略称？,非営利団体,非政府組織,3,2,ヒエイリダンタイ,ヒセイフソシキ,7.65
エジプトの3大ピラミッドのうち一番大きいのは誰の墓？,クフ王,カフラー王,4,2,クフオウ,カフラーオウ,13.9
シンガポールで販売が禁止なのは？,チューイングガム,インスタントラーメン,4,2,チューイングガム,インスタントラーメン,22.9
チベットの人々のユニークな挨拶とは？,舌を出す,鼻と鼻をくっつける,4,2,シタヲダス,ハナトハナヲクッツケル,18.85
韓国で食事のマナーが悪いとされるのは？,食器をもつ,あぐらをかく,4,2,ショッキヲモツ,アグラヲカク,18
「Bless you.」はいつ言われる？,くしゃみをしたとき,咳をしたとき,4,2,クシャミヲシタトキ,セキヲシタトキ,22.25
テニスの4大大会が開催される国は？,オーストラリア,日本,4,2,オーストラリア,ニホン,9.741428429
冷たいものを食べたとき頭痛を起こす現象の正式名称は？,アイスクリーム現象,シャーベット現象,4,2,アイスクリームゲンショウ,シャーベットゲンショウ,14.54695077
長さの単位「インチ」は何を基準にした？,大麦の粒,国王の足の長さ,4,2,オオムギノツブ,コクオウノアシノナガサ,11.66025404
十二支の数が12個と決められるようになったのは？,木星の動き,地球の動き,4,2,モクセイノウゴキ,チキュウノウゴキ,11.88528137
日本の気象予報で存在する前線は？,トノサマガエル前線,赤トンボ前線,4,2,トノサマガエルゼンセン,アカトンボゼンセン,12.74365076
サハラ砂漠の「サハラ」はどんな意味？,砂漠,広大な,4,2,サバク,コウダイナ,8.044562647
白虎隊のあった藩は？,会津藩,薩摩藩,3,2,アイヅハン,サツマハン,8.308203932
「三日天下」の由来となっている戦国武将は？,明智光秀,石田三成,3,2,アケチミツヒデ,イシダミツナリ,10.83725393
JISは何の略称？,日本産業規格,日本工業規格,3,2,ニホンサンギョウキカク,ニッポンコウギョウキカク,12.19950494
1642年に新教徒革命がおこった国は？,イギリス,中国,3,2,イギリス,チュウゴク,8.744997998
明治維新で大名の領地と領民を朝廷に返還させた政策は？,版籍奉還,廃藩置県,3,2,ハンセキホウカン,ハイハンチケン,11.70662386
FBIは何の略称？,連邦捜査局,中央情報局,3,2,レンポウソウサキョク,チュウオウジョウホウキョク,11.84987437
水戸藩の浪士が井伊直弼を暗殺した事件は？,桜田門外の変,生麦事件,3,2,サクラダモンガイノヘン,ナマムギジケン,12.32737905
人名に由来する名前なのは？,アールグレイ,ダージリン,3,2,アールグレイ,ダージリン,9.541428429
新撰組を結成し、初代の隊長となった人物は？,芹沢鴨,近藤勇,3,2,セリザワカモ,コンドウイサム,10.24983444
北九州市があるのは？,福岡県,長崎県,3,2,フクオカケン,ナガサキケン,8.948469228
酒に入っているアルコールの主成分は？,エチルアルコール,メチルアルコール,3,2,エチルアルコール,メチルアルコール,11.88528137
南北戦争が起こった時のアメリカ大統領は？,エイブラハムリンカーン,ジョージワシントン,3,2,エイブラハムリンカーン,ジョージワシントン,13.64365076
日本最南端の新幹線停車駅は？,鹿児島中央,鹿児島本町,1,2,カゴシマチュウオウ,カゴシマホンマチ,15.4
経度と緯度の線が必ず直角に交わって表示される地図の図法は？,メルカトル図法,モルワイデ図法,3,2,メルカトルズホウ,モルワイデズホウ,16.3
川幕府の十五人の将軍の中で５歳にして将軍職に就いたのは？,徳川家継,徳川家治,3,2,トクガワイエツグ,トクガワイエハル,15.6
ネッシーで有名になった「ネス湖」があるのはイギリスのどこ？,スコットランド,北アイルランド,3,2,スコットランド,キタアイルランド,15.3
沈み込んだ海洋プレート内で発生する震源の深さが100kmより深い地震は？,深発地震,深層地震,3,2,シンパツジシン,シンソウジシン,14.9
両側を押す向きに力が働くことで地層が曲がってしまったものを何というか？,しゅう曲,横ずれ断層,3,2,シュウキョク,ヨコズレダンソウ,14.4
細胞の中に核を持つ生物といえば？,真核生物,原核生物,3,2,シンカクセイブツ,ゲンカクセイブツ,14.4
幼少の頃「竹千代」と呼ばれた武将は？,徳川家康,豊臣秀吉,3,2,トクガワイエヤス,トヨトミヒデヨシ,14.6
